ROW ID,STATUS,ZONE,ODD_EVEN,ADDRESS RANGE - LOW,ADDRESS RANGE - HIGH,STREET DIRECTION,STREET NAME,STREET TYPE,SECOND STREET DIRECTION,BUFFER,WARD - LOW,WARD - HIGH
6973,ACTIVE,168,E,1900,1998,W,IOWA,ST,,Y,2.0,2.0
6819,ACTIVE,132,E,2500,2526,W,LAWRENCE,AVE,,N,40.0,40.0
7894,RESCINDED,759,O,2731,2743,W,CORTEZ,ST,,N,26.0,26.0
5169,ACTIVE,102,O,2401,2499,N,WASHTENAW,AVE,,N,1.0,32.0
5588,ACTIVE,35,O,5515,5559,S,MELVINA,AVE,,N,13.0,13.0
7870,ACTIVE,1589,E,3916,3924,W,HIRSCH,ST,,N,26.0,26.0
3681,ACTIVE,1286,E,7100,7198,W,SCHOOL,ST,,N,29.0,29.0
2423,ACTIVE,141,E,2976,2992,N,MILWAUKEE,AVE,,Y,30.0,30.0
1656,ACTIVE,181,O,5107,5155,N,LA CROSSE,AVE,,N,39.0,39.0
337,ACTIVE,1265,E,2200,2298,S,ALBANY,AVE,,N,12.0,12.0
6430,ACTIVE,168,E,900,998,N,OAKLEY,BLVD,,Y,1.0,1.0
2485,ACTIVE,143,E,1200,1298,W,MONTANA,ST,,N,43.0,43.0
5051,ACTIVE,904,O,6001,6099,N,WASHTENAW,AVE,,N,40.0,40.0
2837,ACTIVE,225,O,4101,4155,W,NORTH,AVE,,Y,26.0,26.0
216,ACTIVE,80,O,901,929,S,CLAREMONT,AVE,,N,28.0,28.0
8067,ACTIVE,1590,E,3940,3978,W,BARRY,AVE,,N,30.0,30.0
3336,ACTIVE,506,E,1700,1798,N,RICHMOND,ST,,N,1.0,1.0
947,ACTIVE,31,O,2001,2025,W,35TH,ST,,N,12.0,12.0
973,ACTIVE,185,E,2814,2856,W,40TH,ST,,N,12.0,12.0
8350,ACTIVE,738,O,541,599,W,QUINCY,ST,,Y,42.0,42.0
835,ACTIVE,759,E,800,898,N,CAMPBELL,AVE,,N,26.0,26.0
1009,ACTIVE,1331,E,800,844,W,15TH,PL,,N,11.0,11.0
4264,ACTIVE,914,E,516,538,N,ELIZABETH,ST,,N,1.0,1.0
7964,ACTIVE,119,E,1342,1344,N,NORTH PARK,AVE,,Y,2.0,2.0
2044,ACTIVE,1268,E,1100,1198,W,LELAND,AVE,,N,46.0,46.0
4104,ACTIVE,92,O,4701,4745,N,CAMPBELL,AVE,,N,40.0,40.0
7056,ACTIVE,151,E,2134,2144,S,WESTERN,AVE,,N,28.0,28.0
4555,ACTIVE,268,O,9601,9659,S,CALUMET,AVE,,N,9.0,9.0
5534,ACTIVE,158,O,6301,6399,S,MOBILE,AVE,,N,13.0,13.0
2392,ACTIVE,262,E,3100,3138,N,OCONTO,AVE,,N,29.0,29.0
7160,ACTIVE,603,O,4701,4799,S,SEELEY,AVE,,N,15.0,15.0
5444,ACTIVE,725,O,9801,9899,S,FOREST,AVE,,N,9.0,9.0
4252,ACTIVE,1673,O,161,161,W,HARRISON,ST,,Y,4.0,4.0
1206,ACTIVE,374,E,5534,5544,W,BARRY,AVE,,N,31.0,31.0
7028,ACTIVE,588,O,2401,2499,N,SPRINGFIELD,AVE,,N,31.0,31.0
6772,ACTIVE,228,E,3214,3256,W,62ND,ST,,N,23.0,23.0
5497,ACTIVE,747,O,1401,1499,N,KARLOV,AVE,,N,26.0,26.0
5845,ACTIVE,48,O,4901,4919,W,PATTERSON,AVE,,N,30.0,30.0
3715,ACTIVE,143,E,2100,2198,N,SEMINARY,AVE,,N,43.0,43.0
3977,ACTIVE,373,E,36,98,W,SUPERIOR,ST,,Y,2.0,2.0
4901,ACTIVE,90,O,3901,3957,W,DAKIN,ST,,N,45.0,45.0
5601,ACTIVE,1331,O,1401,1499,S,MORGAN,ST,,N,11.0,11.0
3564,ACTIVE,279,E,3500,3598,S,OAKLEY,AVE,,N,12.0,12.0
2300,ACTIVE,26,O,2203,2235,N,NORDICA,AVE,,N,29.0,29.0
2424,ACTIVE,141,O,2977,2991,N,MILWAUKEE,AVE,,Y,30.0,30.0
7105,ACTIVE,143,E,1200,1230,W,WEBSTER,AVE,,Y,43.0,43.0
3161,ACTIVE,390,E,1500,1570,N,SPRINGFIELD,AVE,,N,26.0,26.0
123,ACTIVE,26,O,7001,7099,W,BELDEN,AVE,,N,29.0,29.0
4122,ACTIVE,80,O,701,749,S,CLAREMONT,AVE,,N,28.0,28.0
7344,RESCINDED,1570,O,3201,3297,N,ORANGE,AVE,,N,38.0,38.0
5598,ACTIVE,143,O,1201,1299,W,MONTANA,ST,,N,43.0,43.0
1657,ACTIVE,4,E,5100,5142,S,LA CROSSE,AVE,,N,14.0,14.0
3766,ACTIVE,5,E,1410,1456,W,POLK,ST,,N,28.0,28.0
1689,ACTIVE,267,O,9201,9259,S,WABASH,AVE,,N,9.0,9.0
1849,ACTIVE,102,E,2900,2954,W,LYNDALE,ST,,N,1.0,1.0
958,ACTIVE,152,E,2200,2270,W,37TH,ST,,N,12.0,12.0
421,ACTIVE,74,O,1301,1399,N,CLARK,ST,,N,2.0,2.0
2298,ACTIVE,154,E,1200,1298,N,NOBLE,ST,,N,2.0,2.0
7192,ACTIVE,154,E,2100,2198,W,CRYSTAL,ST,,Y,2.0,2.0
2761,ACTIVE,96,E,2600,2648,N,TROY,ST,,N,32.0,32.0
2681,ACTIVE,96,O,2615,2655,N,MOZART,ST,,N,32.0,32.0
2935,ACTIVE,107,O,3649,3657,W,SUNNYSIDE,AVE,,N,35.0,35.0
124,ACTIVE,1021,O,2415,2459,W,47TH,ST,,N,15.0,15.0
1320,ACTIVE,1071,E,6300,6398,S,FAIRFIELD,AVE,,N,17.0,17.0
5464,ACTIVE,900,O,501,599,N,HERMITAGE,AVE,,N,1.0,1.0
6450,ACTIVE,114,O,3919,3941,W,IRVING PARK,RD,,N,45.0,45.0
445,ACTIVE,143,O,2101,2143,N,CLIFTON,AVE,,N,43.0,43.0
3150,ACTIVE,682,E,2500,2598,S,SPAULDING,AVE,,N,12.0,12.0
8072,ACTIVE,168,O,901,999,N,OAKLEY,BLVD,,Y,2.0,2.0
7849,ACTIVE,203,E,4300,4356,S,SACRAMENTO,AVE,,N,15.0,15.0
1382,ACTIVE,997,E,6200,6298,W,GEORGE,ST,,N,30.0,30.0
8210,ACTIVE,635,E,3062,3140,N,DAVLIN,CT,,N,30.0,30.0
1791,ACTIVE,1018,E,4300,4398,W,MCLEAN,AVE,,N,35.0,35.0
3392,ACTIVE,56,E,1302,1316,W,ROSEMONT,AVE,,N,48.0,48.0
4796,ACTIVE,10,O,5401,5459,W,EDDY,ST,,N,36.0,36.0
2627,ACTIVE,747,E,1400,1498,N,KARLOV,AVE,,N,26.0,26.0
2835,ACTIVE,111,O,4001,4037,W,NORTH,AVE,,Y,26.0,26.0
4915,ACTIVE,74,O,1401,1453,N,DEARBORN,PKWY,,N,2.0,2.0
353,ACTIVE,5,E,712,726,S,ASHLAND,AVE,,N,27.0,27.0
5891,ACTIVE,346,O,2901,2959,N,MERRIMAC,AVE,,N,30.0,30.0
3421,ACTIVE,100,O,2415,2457,N,SAWYER,AVE,,N,32.0,32.0
3447,ACTIVE,187,E,6200,6242,S,WHIPPLE,ST,,N,16.0,16.0
2618,ACTIVE,154,E,1612,1646,W,JULIAN,ST,,N,2.0,2.0
6564,ACTIVE,143,O,2101,2199,N,RACINE,AVE,,N,43.0,43.0
5344,ACTIVE,719,O,1501,1599,W,HIGHLAND,AVE,,N,48.0,48.0
2246,ACTIVE,325,E,2200,2258,N,KNOX,AVE,,N,36.0,36.0
26,ACTIVE,185,O,2815,2857,W,40TH,ST,,N,12.0,12.0
4749,ACTIVE,618,O,3301,3359,S,ARTESIAN,AVE,,N,25.0,25.0
944,ACTIVE,99,E,1814,1858,W,34TH,ST,,N,12.0,12.0
59,ACTIVE,143,O,1101,1199,W,ARMITAGE,AVE,,Y,43.0,43.0
501,ACTIVE,352,O,3901,3951,W,59TH,ST,,N,23.0,23.0
6797,ACTIVE,955,E,100,138,W,SCHILLER,ST,,N,2.0,2.0
400,ACTIVE,193,E,3900,3926,W,CHICAGO,AVE,,N,37.0,37.0
7114,ACTIVE,143,O,2301,2399,N,WAYNE,AVE,,Y,2.0,2.0
4481,ACTIVE,1468,O,4801,4899,W,51ST,ST,,N,14.0,14.0
7802,ACTIVE,1673,E,900,998,S,WELLS,ST,,N,25.0,25.0
5426,ACTIVE,1238,O,1901,1999,N,HARDING,AVE,,N,26.0,26.0
2070,ACTIVE,47,E,3214,3224,N,LINDER,AVE,,N,30.0,30.0
5522,ACTIVE,5,O,809,849,S,MILLER,ST,,N,11.0,25.0
1355,ACTIVE,948,E,5200,5298,W,FLETCHER,ST,,N,31.0,31.0
2634,ACTIVE,94,E,3200,3266,N,KARLOV,AVE,,N,30.0,30.0
6192,ACTIVE,80,O,1005,1047,S,OAKLEY,BLVD,,N,28.0,28.0
951,ACTIVE,279,E,2300,2398,W,36TH,ST,,N,12.0,12.0
4895,RESCINDED,698,O,2601,2659,W,CULLERTON,ST,,N,12.0,12.0
1080,ACTIVE,1108,E,4102,4122,W,DICKENS,AVE,,N,35.0,35.0
1345,ACTIVE,1673,E,600,658,S,FINANCIAL,PL,,N,4.0,4.0
7363,ACTIVE,1624,O,3001,3059,W,38TH,PL,,N,12.0,12.0
1827,ACTIVE,1207,O,1801,1899,N,LOWELL,AVE,,N,35.0,35.0
8053,ACTIVE,348,O,1275,1281,N,CLYBOURN,AVE,,Y,2.0,2.0
475,ACTIVE,70,O,4235,4299,W,50TH,ST,,N,14.0,14.0
3642,ACTIVE,267,E,9200,9258,S,WABASH,AVE,,N,9.0,9.0
7893,ACTIVE,759,O,2731,2743,W,CORTEZ,ST,,N,26.0,26.0
5954,ACTIVE,139,O,2301,2399,N,MOODY,AVE,,N,36.0,36.0
8330,ACTIVE,1750,O,3801,3853,W,63RD,PL,,N,23.0,23.0
3501,ACTIVE,1401,E,4600,4698,S,HERMITAGE,AVE,,N,15.0,15.0
1988,ACTIVE,4,O,4701,4799,W,51ST,ST,,N,14.0,14.0
2427,ACTIVE,95,E,3312,3324,N,MILWAUKEE,AVE,,Y,30.0,30.0
5011,ACTIVE,1673,O,701,757,S,FINANCIAL,PL,,Y,4.0,4.0
5101,ACTIVE,5,O,1301,1399,W,FLOURNOY,ST,,N,28.0,28.0
3487,ACTIVE,348,E,1300,1366,N,CLEVELAND,AVE,,N,2.0,2.0
1637,ACTIVE,739,E,4300,4398,N,KOSTNER,AVE,,N,39.0,39.0
2351,RESCINDED,1176,O,3101,3199,N,NOTTINGHAM,AVE,,N,29.0,29.0
965,ACTIVE,31,O,1935,1953,W,38TH,ST,,N,12.0,12.0
8165,ACTIVE,119,E,1302,1338,N,LA SALLE,ST,,Y,2.0,2.0
895,ACTIVE,154,O,1613,1647,W,BEACH,AVE,,N,2.0,2.0
3963,ACTIVE,358,E,36,98,W,OAK,ST,,Y,2.0,2.0
3877,ACTIVE,74,O,1537,1599,N,CLARK,ST,,Y,2.0,2.0
6333,ACTIVE,1673,E,900,998,S,PLYMOUTH,CT,,Y,4.0,4.0
2032,ACTIVE,1297,E,300,398,S,LEAVITT,ST,,N,27.0,27.0
6509,ACTIVE,142,O,1601,1659,N,HUDSON,AVE,,N,2.0,2.0
4711,ACTIVE,252,E,4316,4356,S,ALBANY,AVE,,N,15.0,15.0
5944,ACTIVE,713,E,9700,9798,S,MICHIGAN,AVE,,N,9.0,9.0
6190,ACTIVE,80,O,701,753,S,OAKLEY,BLVD,,N,28.0,28.0
4154,ACTIVE,143,E,1900,1958,N,KENMORE,AVE,,N,43.0,43.0
812,ACTIVE,55,O,4701,4747,W,BYRON,ST,,N,45.0,45.0
3076,RESCINDED,40,E,900,998,S,PARK,TER,,N,4.0,4.0
7262,ACTIVE,1566,O,1925,1943,N,KEDVALE,AVE,,N,35.0,35.0
3365,ACTIVE,136,O,2315,2315,S,ROCKWELL,ST,,Y,24.0,24.0
6053,ACTIVE,5,O,901,999,S,MORGAN,ST,,N,11.0,11.0
1797,ACTIVE,711,E,2100,2198,N,MCVICKER,AVE,,N,36.0,36.0
2448,ACTIVE,85,O,6305,6311,N,MILWAUKEE,AVE,,Y,39.0,39.0
4285,ACTIVE,62,E,4900,4998,N,WINCHESTER,AVE,,N,40.0,40.0
7735,ACTIVE,1648,O,4201,4299,W,DICKENS,AVE,,N,35.0,35.0
4485,ACTIVE,1472,E,1100,1198,N,SPRINGFIELD,AVE,,N,37.0,37.0
2522,ACTIVE,1331,E,1500,1598,S,MORGAN,ST,,N,11.0,11.0
3915,ACTIVE,348,O,1431,1495,N,LARRABEE,ST,,N,27.0,27.0
1051,ACTIVE,74,E,1500,1554,N,DEARBORN,PKWY,,N,2.0,2.0
6765,ACTIVE,80,O,2321,2351,W,ROOSEVELT,RD,,N,28.0,28.0
3924,ACTIVE,143,O,1201,1299,W,DIVERSEY,PKWY,,Y,43.0,43.0
7888,ACTIVE,1721,E,5200,5268,S,KNOX,AVE,,N,14.0,14.0
3068,ACTIVE,154,E,1612,1622,W,WABANSIA,AVE,,N,32.0,32.0
3160,ACTIVE,390,E,1300,1320,N,SPRINGFIELD,AVE,,N,26.0,26.0
5988,ACTIVE,168,O,901,969,N,WINCHESTER,AVE,,N,2.0,2.0
5073,ACTIVE,56,O,6415,6459,N,WAYNE,AVE,,N,49.0,49.0
7003,ACTIVE,1547,O,1105,1145,N,HARDING,AVE,,N,37.0,37.0
